"naic","company_name","ratio","upheld_complaints","question_of_fact_complaints","not_upheld_complaints","total_complaints","premiums_written_in_millions","rank","filing_year"
"16233","Erie Insurance Company of New York","0.033584623","3","2","8","13","89.326595","77","2023"
"17230","Allstate Property and Casualty Insurance Company","0.036195629","5","4","8","17","138.138228","78","2023"
"10212","Allmerica Financial Alliance Insurance Company","0.036539327","3","0","4","7","82.1033185","79","2023"
"41513","Foremost Signature Insurance Company","0.036679236","1","0","7","8","27.2633815","80","2023"
"23035","Liberty Mutual Fire Insurance Company","0.036793173","4","5","17","26","108.71582","81","2023"
"19704","American States Insurance Company","0.037221653","8","17","41","66","214.928661","82","2023"
"29688","Allstate Fire and Casualty Insurance Company","0.038113899","56","61","167","284","1469.280289","83","2023"
"30104","Hartford Underwriters Insurance Company","0.039970026","4","7","18","29","100.0749905","84","2023"
"10839","Country-Wide Insurance Company","0.040670812","3","9","27","39","73.7629725","85","2023"
"36447","LM General Insurance Company","0.045395509","31","57","198","286","682.886941","86","2023"
"24260","Progressive Casualty Insurance Company","0.045810233","27","60","113","200","589.3879595","87","2023"
"16322","Progressive Direct Insurance Company","0.046150254","1","8","19","28","21.668353","88","2023"
"25674","Travelers Property Casualty Company of America","0.046996463","1","1","0","2","21.278197","89","2023"
"26263","Erie Insurance Company","0.048584312","4","7","4","15","82.3311025","90","2023"
"25453","Nationwide Insurance Company of America","0.048646862","1","0","1","2","20.5563105","91","2023"
"15024","Preferred Mutual Insurance Company","0.048903872","3","1","11","15","61.344836","92","2023"
"19240","Allstate Indemnity Company","0.049174709","2","2","9","13","40.671313","93","2023"
"12873","Privilege Underwriters Reciprocal Exchange","0.05089242","2","0","0","2","39.298583","94","2023"
"12901","Merchants Preferred Insurance Company","0.051266483","1","1","3","5","19.5059215","95","2023"
"19232","Allstate Insurance Company","0.051637959","24","22","44","90","464.7743755","96","2023"
"25941","United Services Automobile Association","0.055620113","7","10","18","35","125.8537545","97","2023"
"36145","Travelers Personal Security Insurance Company","0.062212414","3","3","3","9","48.221887","98","2023"
"13803","Farm Family Casualty Insurance Company","0.0633945","1","2","1","4","15.774239","99","2023"
"25968","USAA Casualty Insurance Company","0.067928459","10","6","23","39","147.2137025","100","2023"
"18600","USAA General Indemnity Company","0.081370848","9","7","24","40","110.604722","101","2023"
"16578","Stillwater Property and Casualty Insurance Company","0.084207509","1","1","5","7","11.8754255","102","2023"
"40169","Farmers Casualty Insurance Company","0.085203412","3","1","2","6","35.2098575","103","2023"
"12504","AMERICAN FAMILY CONNECT INSURANCE COMPANY","0.087357306","1","1","2","4","11.4472395","104","2023"
"25275","Plymouth Rock Assurance Corporation of New York","0.091741592","1","0","9","10","10.9001815","105","2023"
"34339","Farmers Group Property and Casualty Insurance Company","0.095386611","10","4","12","26","104.836516","106","2023"
"40231","Old Dominion Insurance Company","0.111328598","1","0","0","1","8.982418","107","2023"
"32603","Berkley Insurance Company","0.114168278","1","0","1","2","8.7590005","108","2023"
"10914","Kemper Independence Insurance Company","0.121739773","3","0","9","12","24.642727","109","2023"
"12130","New South Insurance Company","0.124245547","7","3","13","23","56.3400475","110","2023"
"34789","21st Century Centennial Insurance Company","0.152279699","1","3","2","6","6.5668635","111","2023"
"30210","Esurance Property and Casualty Insurance Company","0.157175786","7","7","32","46","44.536122","112","2023"
"11185","Foremost Insurance Company Grand Rapids, Michigan","0.166244337","2","2","3","7","12.030485","113","2023"
"37478","Hartford Insurance Company of the Midwest","0.169131233","1","1","2","4","5.9125685","114","2023"
"40703","Unitrin Safeguard Insurance Company","0.179926101","6","1","10","17","33.347024","115","2023"
"25712","Esurance Insurance Company","0.188035127","14","8","43","65","74.4541735","116","2023"
"11215","SAFECO Insurance Company of Indiana","0.253139873","3","1","1","5","11.8511555","117","2023"
"25909","Unitrin Preferred Insurance Company","0.271589129","1","0","2","3","3.6820325","118","2023"
"37648","Permanent General Assurance Corporation","0.29402562","3","2","11","16","10.2031925","119","2023"
"15130","Encompass Indemnity Company","0.385737882","1","0","0","1","2.592434","120","2023"
"18058","Philadelphia Indemnity Insurance Company","0.394798841","2","0","0","2","5.065871","121","2023"
"20052","National Liability & Fire Insurance Company","1.07738768","1","0","1","2","0.928171","122","2023"
"10111","American Bankers Insurance Company of Florida","2.12530817","1","3","1","5","0.47052","123","2023"
"36161","Travelers Property Casualty Insurance Company","2.329755993","1","1","0","2","0.4292295","124","2023"
"35882","GEICO General Insurance Company","0","0","2","10","12","2716.297785","1","2022"
"15024","Preferred Mutual Insurance Company","0","0","1","10","11","55.354694","2","2022"
"23787","Nationwide Mutual Insurance Company","0","0","2","3","5","41.9498175","3","2022"
"42919","Progressive Northwestern Insurance Company","0","0","3","3","6","39.621536","4","2022"
"40169","Farmers Casualty Insurance Company","0","0","0","6","6","37.1002225","5","2022"
"10677","Cincinnati Insurance Company","0","0","2","3","5","33.185554","6","2022"
"29424","Hartford Casualty Insurance Company","0","0","3","2","5","29.9145625","7","2022"
"19402","AIG Property Casualty Company","0","0","0","5","5","24.885225","8","2022"
"25453","Nationwide Insurance Company of America","0","0","1","6","7","22.2128365","9","2022"
"19240","Allstate Indemnity Company","0","0","3","7","10","21.829482","10","2022"
"23728","National General Insurance Company","0","0","1","4","5","20.3869735","11","2022"
"16322","Progressive Direct Insurance Company","0","0","7","7","14","19.5837365","12","2022"
"11252","Encompass Home and Auto Insurance Company","0","0","1","6","7","19.341147","13","2022"
"38288","Hartford Insurance Company of Illinois","0","0","0","2","2","18.965871","14","2022"
"12901","Merchants Preferred Insurance Company","0","0","2","3","5","18.8868815","15","2022"
"41513","Foremost Signature Insurance Company","0","0","0","5","5","13.9410095","16","2022"
"18279","Bankers Standard Insurance Company","0","0","1","1","2","12.7983825","17","2022"
"33600","LM Insurance Corporation","0","0","2","4","6","12.721003","18","2022"
"11185","Foremost Insurance Company Grand Rapids, Michigan","0","0","3","2","5","12.5442835","19","2022"
"37770","CSAA General Insurance Company","0","0","3","5","8","12.194311","20","2022"
"11044","National General Insurance Online, Inc.","0","0","1","2","3","11.826638","21","2022"
"20303","Great Northern Insurance Company","0","0","0","0","0","11.3484135","22","2022"
"12504","AMERICAN FAMILY CONNECT INSURANCE COMPANY","0","0","2","4","6","10.907112","23","2022"
"25976","Utica Mutual Insurance Company","0","0","0","2","2","9.290378","24","2022"
"12831","State National Insurance Company, Inc.","0","0","0","1","1","8.226157","25","2022"
"36137","Travelers Commercial Insurance Company","0","0","0","1","1","8.196442","26","2022"
"21261","Electric Insurance Company","0","0","0","1","1","7.9798815","27","2022"
"10022","Countryway Insurance Company","0","0","0","0","0","7.4066985","28","2022"
"37478","Hartford Insurance Company of the Midwest","0","0","0","0","0","6.627489","29","2022"
"23582","Harleysville Insurance Company","0","0","0","0","0","6.4340665","30","2022"
"29068","AMERICAN FAMILY CONNECT PROPERTY AND CASUALTY INSURANCE COMPANY","0","0","0","0","0","6.2192805","31","2022"
"33588","First Liberty Insurance Corporation","0","0","0","1","1","6.132782","32","2022"
"12777","Chubb Indemnity Insurance Company","0","0","0","0","0","5.8905505","33","2022"
"40649","Economy Premier Assurance Company","0","0","0","0","0","5.588637","34","2022"
"42447","National General Assurance Company","0","0","2","3","5","5.4215635","35","2022"
"32603","Berkley Insurance Company","0","0","0","0","0","5.2754355","36","2022"
